Property Reference Number,Full Property Address,Current Property Exemption Code,Current Prop Exemption Start Date,Analysis Code,Primary Liable party name,Current Rateable Value
177510143220,"3rd Floor, Willis House, Willis Road, Portsmouth, PO1 1AT",RV below minimum for EPR,11-Dec-20,CO,1st Call Property Management Limited,2100
177503396310,"4-8, Guildhall Walk, Portsmouth, PO1 2DD",Liquidation,08-Oct-21,CL,2020 Leisure Limited-In Liquidation,36750
177503396810,"10, Guildhall Walk, Portsmouth, PO1 2DD",Listed Building,05-Sep-15,CL2,A.R.T. Investments Ltd (1964) Ltd,87000
177504993310,"Ground Floor, 120, London Road, Portsmouth, PO2 0NB",Empty Property Rate Non-Industrial,07-Mar-21,CS,Adn Financial Solutions Ltd,23000
177510803330,"Unit 102, Cascades, Portsmouth, Hants, PO1 4RP",Company in Administration,12-Feb-21,CS,Agl Realisations Limited (In Administration),225000
177501615310,"144, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,13-Feb-21,CS,Agl Realisations Limited (In Administration),230000
177501616010,"152, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,14-Feb-21,CS,Agl Realisations Limited (In Administration),144000
177501625910,"Second Floor, 144, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,13-Feb-21,LX,Agl Realisations Limited (In Administration),16500
177511291410,"N3 North Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Jan-13,CO,All Saints Church Council,980
177512022410,"S2 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Oct-15,CO,All Saints Church Council,650
177512022510,"S3 - S4 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Feb-14,CO,All Saints Church Council,780
177501627710,"S1 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,11-Feb-17,CO,All Saints Pastoral Centre,480
177590027210,"N1-N2, North Gallery, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Apr-18,CO,All Saints Pastoral Centre,1525
177510752610,"Units 96 - 97, The Canalside, Gunwharf Quays, Portsmouth, PO1 3FA",Company in Administration,18-May-20,CS,Antler Ltd-In Administration,72500
177500315310,"50-52, Arundel Street, Portsmouth, PO1 1NL",Empty Property Rate Non-Industrial,01-Oct-19,CS,Asiamart Limited,23250
177501618310,"213-215, Commercial Road, Portsmouth, PO1 4BJ",Empty Property Rate Non-Industrial,21-Jul-21,CS,Avail Facilities Ltd,31500
177510585420,"Basement Storage, The Old Treasury, 7, Kings Road, Southsea, Hants, PO5 4DJ",Empty Property Rate Non-Industrial,01-Oct-16,CW3,B Webber Holdings Ltd,0
177506320110,"44-66, Palmerston Road, Southsea, Hants, PO5 3QG",Empty Property Rate Non-Industrial,25-Apr-20,CS,Bankuwait Nominees Limited,300000
177506227010,"90, Osborne Road, Southsea, Hants, PO5 3LW",Empty Property Rate Non-Industrial,07-Aug-21,CS1,Barclays Bank Uk Plc,30000
177511939710,"Advertising Banner, Lamppost 4, Lake Road, Portsmouth, PO1",RV below minimum for EPR,01-Apr-13,CA,Bay Media Ltd,140
177511873110,"Car Park, Fitzherbert Street, Portsmouth, PO1 1EQ",Land,30-Nov-13,CP1,Berinsfield Limited,18250
177503762710,"Eastney Swimming Pool, Swimming Baths, Henderson Road, Southsea, Hants, PO4 9NB",Empty Property Rate Charitable,01-Apr-20,LS6,Bh Live,21750
177509874710,"R11g, North Promenade Building, Gunwharf Quays, Portsmouth, PO1 3TR",Empty Property Rate Non-Industrial,06-Apr-20,CR,Bills Restaurants Ltd,110000
177512329110,"City Wide Taxis, Rear Of 32, The Hard, Portsmouth, PO1 3DT",Empty Property Rate Non-Industrial,03-Sep-19,CO,Bluedrop Limited,5400
1775900732,"Unit 7h, The Pompey Centre, Dickinson Road, Southsea, Hants, PO4 8ER",Empty Property Rate Non-Industrial,20-Dec-20,CW,Box+Iii Portsmouth Ltd,33500
177511421110,"Unit 12, The Pompey Centre, Fratton Way, Southsea, PO4 8FD",Empty Property Rate Non-Industrial,01-Mar-20,CS,Box+Iii Portsmouth Ltd,24750
1775113780100,"64, Goldsmith Avenue, Southsea, Hants, PO4 8FH",Empty Property Rate Non-Industrial,25-Nov-21,CO,Box+Iii Portsmouth Ltd,5200
177506045420,"52, Northern Road, Portsmouth, Hants, PO6 3DP",Empty Property Rate Non-Industrial,09-Nov-21,CO,Braidgrain Ltd,5500
177590123210,"18 - 24, Osborne Road, Southsea, PO5 3LT",RV below minimum for EPR,06-Apr-18,LX,Brassfile Ltd,1000
177504985510,"468, London Road, Portsmouth, PO2 9RN",Empty Property Rate Non-Industrial,30-Jan-21,CG3,Cambridge Garage(Portsmouth) Ltd,114000
177508954210,"Unit 22, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,24-Apr-21,CS,Cascades Shopping Centre General Partner Ltd,66000
177508954410,"Unit 24, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,25-Mar-21,CS,Cascades Shopping Centre General Partner Ltd,71500
177508956710,"Unit 48a, Cascades, Portsmouth, PO1 4RR",Empty Property Rate Non-Industrial,25-Oct-21,CS,Cascades Shopping Centre General Partner Ltd,24000
177508956810,"Unit 49, Cascades, Portsmouth, PO1 4RR",Empty Property Rate Non-Industrial,01-Jan-22,CS,Cascades Shopping Centre General Partner Ltd,28000
177508957310,"Unit 53, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,13-Apr-21,CS,Cascades Shopping Centre General Partner Ltd,28250
177508957410,"Unit 54, Cascades, Portsmouth, PO1 4RJ",Vacant (1st 3 months),18-Jan-22,CS,Cascades Shopping Centre General Partner Ltd,46500
177508957610,"Unit 55a, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,03-Jun-20,CS,Cascades Shopping Centre General Partner Ltd,27250
177508958310,"First Floor, Unit 48a, Cascades, Portsmouth, PO1 4RR",Empty Property Rate Non-Industrial,29-Sep-18,CW3,Cascades Shopping Centre General Partner Ltd,6000
177511699310,"Unit 31a, Cascades, Portsmouth, Hants, PO1 4RJ",Vacant (1st 3 months),04-Jan-22,CS,Cascades Shopping Centre General Partner Ltd,56000
177511711510,"Unit 108a, Cascades, Portsmouth, Hants, PO1 4RP",Empty Property Rate Non-Industrial,06-Jan-22,CS,Cascades Shopping Centre General Partner Ltd,29500
177512326110,"Unit 56b, Cascades, Portsmouth, Hants, PO1 4RP",Empty Property Rate Non-Industrial,01-Jan-22,CS,Cascades Shopping Centre General Partner Ltd,32000
177501631810,"Harbour Court, Compass Road, Portsmouth, PO6 4ST",Empty Property Rate Non-Industrial,25-Mar-21,CO,Cegedim House Inc,285000
177510809530,"Unit 1 & 2, Cosmopolitan House, Airport Service Road, Portsmouth, PO3 5XR",Empty Property Rate Non-Industrial,29-Feb-20,CO,Charles Dartmouth Limited,4250
177501153410,"31-37, Charlotte Street, Portsmouth, PO1 4AH",Empty Property Rate Non-Industrial,13-Apr-21,CS,Charlotte Street (Portsmouth) Ltd,18000
177510844710,"Unit 119, Cascades, Portsmouth, PO1 4RP",Empty Property Rate Non-Industrial,01-Jul-20,CS,Chimere (Uk) Limited,25250
177590011910,"Spitbank Fort, Spithead, Southsea, Hants, PO4 0SP",Ancient Monument,18-May-21,CH,Clarenco  Llp,120000
177511477210,"Suite G49 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Jul-21,CO,Clearway Traffic Solutions Ltd,2150
177504938110,"64, London Road, Portsmouth, PO2 0LN",Vacant (1st 3 months),16-Nov-21,CS,Co-Operative Funerals Ltd,10500
177509702610,"Unit 2, Student Union, Cambridge Road, Portsmouth, PO1 2ST",Empty Property Rate Non-Industrial,30-Nov-21,CS,Co-Operative Group Ltd,41500
177510784410,"Ground Floor, 3, Guildhall Walk, Portsmouth, PO1 2RY",Empty Property Rate Non-Industrial,14-Nov-20,CS2,Coral Racing Ltd,34500
177590123710,"G/F Unit 4, Exchange House, 122-124, London Road, Portsmouth, PO2 9DD",Vacant (1st 3 months),12-Dec-21,CS,Coral Racing Ltd,29500
177501619110,"226, Commercial Road, Portsmouth, PO1 1HG",Empty Property Rate Non-Industrial,01-Apr-21,CS,Custodian Reit Plc,115000
177512680011,"Unit E, Oyo Business Units, Fishers Grove, Portsmouth, PO6 1RN",Empty Property Rate Industrial,01-Jan-22,IF3,Dci Property Llp,33500
177507716010,"Shop Adjacent, 1, Stubbington Avenue, Portsmouth, PO2 0HP",RV below minimum for EPR,01-Apr-10,CS,Denzil Properties (H & S) Ltd,1
177503655310,"Store Adj St Philips Church Hall, Hawthorn Crescent, Portsmouth, PO6 2TL",RV below minimum for EPR,01-Apr-20,CW3,Diocese Of Portsmouth- St Philips Church,590
177512248270,"Second Floor West, Building 4000, Lakeside Business Park, Western Road, Portsmouth, PO6 3FT",Company in Administration,08-Jan-20,CO,Douglas Stafford Limited- In Administration,43250
177501624610,"The Royal, 334a, Commercial Road, Portsmouth, PO1 4BT",Empty Property Rate Non-Industrial,22-Aug-19,CL,Dupree Arms Limited,9100
177510137411,"50a, Osborne Road, Southsea, Hants, PO5 3LT",RV below minimum for EPR,06-Dec-18,CO,Dylan Properties Limited,2325
177510645510,"Landport Family Hub, 221, Arundel Street, Portsmouth, PO1 1NF",Empty Property Rate Non-Industrial,01-Jul-21,EX,Early Help And Prevention Service (Pcc),28750
177511840710,"Ground Floor, 74, Arundel Street, Portsmouth, Hants, PO1 1RX",Empty Property Rate Charitable,02-Jul-16,CO,Elim Foursquare Gospel Alliance,6800
177508588410,"The Invincible, 6, Wickham Street, Portsmouth, PO1 3EF",Empty Property Rate Non-Industrial,03-Jan-19,CL,Enterprise Inns Limited,16750
177590000210,"Roof Top (Po0033) , Phoenix Building, Claybank Road, Portsmouth, PO3",Land,29-Jul-11,MT1,Erb Motors Ltd,12500
177510701220,"39, Arundel Street, Portsmouth, PO1 1NB",Empty Property Rate Non-Industrial,10-Jun-21,CS,Eurowell Properties Ltd,26250
177509721810,"Roof Top (Ham0265), Pheonix Buildings, Claybank Road, Portsmouth, PO3 5NH",Land,15-Feb-13,MT1,Everything Everywhere Ltd,13500
177503836110,"Aerial, 41, High Street, Portsmouth, ",Land,22-Dec-20,MT1,Everything Everywhere Ltd,2650
177505624510,"Orange Personal Comm, Mast, Milton Road, Portsmouth, PO3 6AD",Land,16-Mar-13,MT1,Everything Everywhere Ltd,4350
177590135910,"Ham 7015, Baptist Church, 195, Powerscourt Road, Buckland, Portsmouth, PO2 7JH",Land,21-Dec-20,MT1,Everything Everywhere Ltd,2500
177504763310,"Unit 14, Gunners Building, Limberline Road, Portsmouth, PO3 5BJ",Empty Property Rate Industrial,07-Dec-21,CW,Excell Metal Spinning Ltd,8500
177509793710,"Refreshment Rooms, Portsmouth & Southsea Station, Commercial Road, Portsmouth, PO1 1EH",Listed Building,06-Nov-20,CR1,First Mtr South Western Trains Limited,26500
177509794610,"Information & Advice Centre, Portsmouth & Southsea Station, Commercial Road, Portsmouth, PO1 1EQ",Listed Building,20-Aug-17,CO,First Mtr South Western Trains Limited,13000
177503482910,"Kiosk, Adj Railway Station, The Hard, Portsmouth, Hants, PO1 3DT",RV below minimum for EPR,20-Aug-17,CS4,First Mtr South Western Trains Limited,2800
177504993820,"Holiday Let At, 1st & 2nd Floor, 121 - 123, London Road, Portsmouth, Hants, PO2 9AA",Empty Property Rate Non-Industrial,29-Feb-16,CH1,Flatiron Capital Ltd,3200
177512177310,"Ground Floor, Shore House, Compass Road, Portsmouth, PO6 4PR",Vacant (1st 3 months),13-Dec-21,CO,Forelle Estates Ltd,129000
177509468510,"Blueprint 2500, Portfield Road, Portsmouth, PO3 5SE",Empty Property Rate Industrial,28-Nov-21,IF3,Forelle Estates Ltd,149000
177503812110,"7, High Street, Cosham, Portsmouth, PO6 3EJ",Empty Property Rate Non-Industrial,08-Oct-19,CS,Gate Portfolio Limited,20750
177508296710,"A7, Railway Triangle, Walton Road, Portsmouth, PO6 1TN",Vacant (1st 3 months),01-Nov-21,IF3,Glasgow City Council,39000
177508297510,"F8, Railway Triangle, Walton Road, Portsmouth, PO6 1TG",Empty Property Rate Industrial,15-Dec-21,CW,Glasgow City Council,16500
177508999710,"Royal Marines Museum, Eastney Barracks, Gunners Row, Southsea, Hants, PO4 9PP",Listed Building,25-Nov-20,EM1,Grand Hotel Excelsior International Limited,167000
177501625810,"Third Floor, 137-145, Commercial Road, Portsmouth, PO1 1DD",Empty Property Rate Non-Industrial,07-Aug-13,CL2,Gravitas Holdings Pcc Ltd,31750
177503396510,"First Floor 5-9, Hippodrome House, Guildhall Walk, Portsmouth, PO1 2RY",Empty Property Rate Non-Industrial,27-Mar-20,CO,Guildhall Walk Limited,52500
177511407510,"2nd Floor, Hippodrome House, 5-9, Guildhall Walk, Portsmouth, PO1 2RL",Empty Property Rate Non-Industrial,27-Mar-20,CO,Guildhall Walk Limited,72500
177511407610,"3rd Floor, Hippodrome House, 5-9, Guildhall Walk, Portsmouth, PO1 2RX",Empty Property Rate Non-Industrial,27-Mar-20,CO,Guildhall Walk Limited,67500
177509876610,"Conveniences, North Building, Gunwharf Quays, Portsmouth, ",RV below minimum for EPR,01-Apr-10,MX,Gunwharf Quays Ltd,0
177509877910,"Rawlings Suite, North Building, Gunwharf Quays, Portsmouth, PO1 3TT",Empty Property Rate Non-Industrial,02-Oct-19,CO,Gunwharf Quays Ltd,38750
177509906710,"Suite 6, Somerville Suite, Gunwharf Quays, Portsmouth, PO1 3TP",Empty Property Rate Non-Industrial,11-Nov-20,CO,Gunwharf Quays Ltd,16000
177510082810,"S86, Market Square, Gunwharf Quays, PO1 3FB",Vacant (1st 3 months),13-Dec-21,CS,Gunwharf Quays Ltd,96000
177503828510,"First Floor, 58, High Street, Cosham, Portsmouth, PO6 3AG",Empty Property Rate Non-Industrial,01-Apr-11,CO,H J Everett (Chemist) Ltd,9800
177590110510,"The Consulting Rooms, Wootton Street, Portsmouth, PO6 3AP",Empty Property Rate Non-Industrial,01-Jul-16,CO,H J Everett Chemists Ltd,6100
177511920710,"Contractors Offices & Compound, Tipner Wharf, Twyford Avenue, Portsmouth, PO2 8PE",Empty Property Rate Non-Industrial,15-Mar-18,CO,Homes Communities Agency,10750
177512250010,"Unit 6-7, Voyager Park South, Portfield Road, Portsmouth, PO3 5GF",Empty Property Rate Non-Industrial,10-Aug-21,IF,Huhtamaki Foodservice Portsmouth Limited,137000
177511874310,"Unit 9, The Nelson Centre, Portfield Road, Portsmouth, PO3 5SF",Company in Administration,28-Oct-19,CW,Install Base Limited-In Administration,30500
177511422510,"Suite G30-G32 Grd Flr East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EZ",Empty Property Rate Non-Industrial,01-Apr-13,CO,Iw Group Services (Uk) Limited,10000
177511453710,"Suite G02 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Feb-21,CO,Iw Group Services (Uk) Limited,6500
177511453910,"Suite G04 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,06-Dec-21,CO,Iw Group Services (Uk) Limited,2300
177511454510,"Suite G10 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Sep-17,CO,Iw Group Services (Uk) Limited,3750
177511455410,"Suite G19 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Apr-21,CO,Iw Group Services (Uk) Limited,2300
177511456010,"Suite G25 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Nov-21,CO,Iw Group Services (Uk) Limited,1775
177511456310,"Suite G28 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Oct-20,CO,Iw Group Services (Uk) Limited,4600
177511456610,"Suite G34 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Jan-20,CO,Iw Group Services (Uk) Limited,1850
177511456910,"Suite G37 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Jul-21,CO,Iw Group Services (Uk) Limited,2850
177511457010,"Suite G38 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Oct-21,CO,Iw Group Services (Uk) Limited,7400
177511457110,"Suite G36 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Oct-21,CO,Iw Group Services (Uk) Limited,34000
177511476310,"Suite G40 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Oct-21,CO,Iw Group Services (Uk) Limited,3800
177511476410,"Suite G41 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Jan-21,CO,Iw Group Services (Uk) Limited,5800
177511476510,"Suite G42 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Oct-20,CO,Iw Group Services (Uk) Limited,2750
177511476610,"Suite G43 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Dec-21,CO,Iw Group Services (Uk) Limited,2750
177511476810,"Suite G45 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Apr-21,CO,Iw Group Services (Uk) Limited,2750
177511477010,"Suite G47 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Dec-21,CO,Iw Group Services (Uk) Limited,3600
177511477410,"Suite G51 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Vacant (1st 3 months),01-Dec-21,CO,Iw Group Services (Uk) Limited,2950
177511477810,"Suite G55 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Aug-20,CO,Iw Group Services (Uk) Limited,1875
177511477910,"Suite G56 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,01-Jul-18,CO,Iw Group Services (Uk) Limited,3550
177511478410,"Suite G61 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Sep-17,CO,Iw Group Services (Uk) Limited,1875
177511478910,"Suite G66 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",RV below minimum for EPR,01-Jul-21,CO,Iw Group Services (Uk) Limited,2175
177501623610,"4, Sovereign Gate, 308, Commercial Road, Portsmouth, PO1 4BL",Empty Property Rate Non-Industrial,07-Dec-21,CO,Jwa Property Investments Ltd,9300
177506221110,"47, Osborne Road, Southsea, Hants, PO5 3LS",Empty Property Rate Non-Industrial,17-Nov-21,CS,Kensington Properties (Southern) Ltd,14000
177511841610,"Suite 201 West Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,02-Jan-21,CO,Kinto Uk Limited,62500
177501626610,"First Floor, 250-252, Commercial Road, Portsmouth, PO1 1HH",Empty Property Rate Non-Industrial,29-Apr-20,CO,Kratos Partners Ltd,13000
177505622610,"142, Milton Road, Southsea, Hants, PO4 8PN",Empty Property Rate Non-Industrial,08-Feb-18,CL,Krs Retail Ltd,0
177509871810,"S09-11, Central Square South Building, Gunwharf Quays, Portsmouth, PO1 3TW",Empty Property Rate Non-Industrial,01-Jan-22,CS,Land Securities Properties Ltd,305000
177510210710,"Unit 105-106, The Canalside, Gunwharf Quays, Portsmouth, PO1 3FA",Empty Property Rate Non-Industrial,02-Apr-21,CS,Land Securities Properties Ltd,90500
1775900975,"Roof Top (Po0036) At, 1-13, Lord Montgomery Way, Portsmouth, PO1 2EG",Land,03-Feb-11,MT1,Language Specialists (International) Ltd,12500
177509723710,"Haven House, Compass Road, Portsmouth, PO6 4PR",Empty Property Rate Non-Industrial,03-Dec-21,CO,Laser Vision Limited,141000
177590140710,"Allslades Plc, Limberline Road, Portsmouth, PO3 5JF",Empty Property Rate Industrial,02-Nov-21,IF,L'Escargotiere (Farms A21) Ltd,310000
177590024191,"Unit 3, Chesapeake Branded Packaging, Limberline Road, Portsmouth, PO3 5JF",Empty Property Rate Industrial,16-Jan-20,IF,Limberline Property Holdings Ltd,39250
177590024160,"Unit 2, Chesapeake Branded Packaging, Limberline Road , Portsmouth , PO3 5JF",Empty Property Rate Industrial,16-Jan-20,IF,Limberline Property Holdings Ltd,33500
177511246510,"155, Manners Road , Southsea , PO4 0BD",RV below minimum for EPR,10-Jul-19,CW3,Litten Properties Limited,980
177501625610,"Rear Second Floor, 115, Commercial Road, Portsmouth, PO1 1BU",Empty Property Rate Non-Industrial,01-Apr-11,CO,Lloyds Bank Plc,15500
177501625710,"Third Floor, 115, Commercial Road, Portsmouth, PO1 1BU",Empty Property Rate Non-Industrial,30-Dec-16,CO,Lloyds Bank Plc,4300
